ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
21087,Sun Oct 29 01:21:24 BRT 2023,Sun Oct 29 01:21:24 BRT 2023,POST,https://update.googleapis.com/service/update2/json?cup2key=10:978203188&cup2hreq=4cb040df01fb6d8c71aa2928791049a40adfeffa3633d9efc86fcb100e4a0cc1,200,OK,163,1123,2628
21088,Sun Oct 29 01:21:24 BRT 2023,Sun Oct 29 01:21:24 BRT 2023,POST,https://update.googleapis.com/service/update2/json?cup2key=10:978203188&cup2hreq=4cb040df01fb6d8c71aa2928791049a40adfeffa3633d9efc86fcb100e4a0cc1,200,OK,164,1119,3639
21089,Sun Oct 29 01:21:24 BRT 2023,Sun Oct 29 01:21:25 BRT 2023,POST,https://update.googleapis.com/service/update2/json?cup2key=10:978203188&cup2hreq=4cb040df01fb6d8c71aa2928791049a40adfeffa3633d9efc86fcb100e4a0cc1,200,OK,163,1119,3639
21090,Sun Oct 29 01:21:25 BRT 2023,Sun Oct 29 01:21:25 BRT 2023,POST,https://update.googleapis.com/service/update2/json?cup2key=10:978203188&cup2hreq=4cb040df01fb6d8c71aa2928791049a40adfeffa3633d9efc86fcb100e4a0cc1,200,OK,175,1119,3639
21091,Sun Oct 29 01:21:25 BRT 2023,Sun Oct 29 01:21:25 BRT 2023,POST,https://update.googleapis.com/service/update2/json?cup2key=10:978203188&cup2hreq=4cb040df01fb6d8c71aa2928791049a40adfeffa3633d9efc86fcb100e4a0cc1,200,OK,156,1123,2515
21092,Sun Oct 29 01:21:25 BRT 2023,Sun Oct 29 01:21:25 BRT 2023,POST,https://update.googleapis.com/service/update2/json?cup2key=10:978203188&cup2hreq=4cb040df01fb6d8c71aa2928791049a40adfeffa3633d9efc86fcb100e4a0cc1,200,OK,153,1119,2515
21093,Sun Oct 29 01:21:25 BRT 2023,Sun Oct 29 01:21:25 BRT 2023,POST,https://update.googleapis.com/service/update2/json?cup2key=10:978203188&cup2hreq=4cb040df01fb6d8c71aa2928791049a40adfeffa3633d9efc86fcb100e4a0cc1,200,OK,164,1123,2515
21094,Sun Oct 29 01:21:25 BRT 2023,Sun Oct 29 01:21:25 BRT 2023,POST,https://update.googleapis.com/service/update2/json?cup2key=10:978203188&cup2hreq=4cb040df01fb6d8c71aa2928791049a40adfeffa3633d9efc86fcb100e4a0cc1,200,OK,150,1123,2628
21095,Sun Oct 29 01:21:25 BRT 2023,Sun Oct 29 01:21:26 BRT 2023,POST,https://update.googleapis.com/service/update2/json?cup2key=10:978203188&cup2hreq=4cb040df01fb6d8c71aa2928791049a40adfeffa3633d9efc86fcb100e4a0cc1,200,OK,154,1115,2628
21096,Sun Oct 29 01:21:26 BRT 2023,Sun Oct 29 01:21:26 BRT 2023,POST,https://update.googleapis.com/service/update2/json?cup2key=10:978203188&cup2hreq=4cb040df01fb6d8c71aa2928791049a40adfeffa3633d9efc86fcb100e4a0cc1,200,OK,161,1123,2628
21097,Sun Oct 29 01:21:26 BRT 2023,Sun Oct 29 01:21:26 BRT 2023,POST,https://update.googleapis.com/service/update2/json?cup2key=10:978203188&cup2hreq=4cb040df01fb6d8c71aa2928791049a40adfeffa3633d9efc86fcb100e4a0cc1,200,OK,154,1123,2627
21098,Sun Oct 29 01:21:26 BRT 2023,Sun Oct 29 01:21:26 BRT 2023,POST,https://update.googleapis.com/service/update2/json?cup2key=10:978203188&cup2hreq=4cb040df01fb6d8c71aa2928791049a40adfeffa3633d9efc86fcb100e4a0cc1,200,OK,152,1123,2709
